value,tweet
positif,'berkat' 'link' 'saja' 'bayar' 'asuransi' 'bpjs' 'daring' 'apalahi' 'pandemi' 'serba' 'daring' 'bayar' 'tagihan' 'listrik' 'daring' 'terimakasih' 'nya' 'tertawa'
positif,'berkat' 'link' 'saja' 'bayar' 'asuransi' 'bpjs' 'daring' 'apalahi' 'pandemi' 'serba' 'daring' 'bayar' 'tagihan' 'listrik' 'daring' 'terimakasih' 'nya' 'tertawa' 'lengkapuntuksemua'
positif,'berkat' 'promosi' 'kuota' 'ajar' 'masak' 'pandemi' 'tutorial' 'youtube' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'bersyukur' 'jenis' 'bayar' 'mudah' 'senang' 'sekali' 'pandemi' 'covid' 'linkaja' 'bantu' 'kurang' 'sebar' 'virus' 'bayar' 'sistem' 'digital' 'praktis' 'linkaja'
positif,'bersyukur' 'masa' 'pandemi' 'praktis' 'bayar' 'aplikasi' 'linkaja' 'terima' 'kasih' 'link' 'saja' 'pakelinkaja'
positif,'bersyukur' 'sekali' 'nemu' 'aplikasi' 'transaksi' 'aplikasi' 'masa' 'pandemi' 'menjadi' 'bayar' 'aplikasi' 'rumah' 'pakelinkaja'
positif,'citilink' 'shopepay' 'wujud' 'terbang' 'aman' 'jangkau' 'pandemi'
positif,'cocok' 'kerja' 'lengkapnyauntuksemua' 'mengispirasi' 'inovasi' 'pandemi'
positif,'cocok' 'pandemi' 'harus' 'rumah' 'jauh' 'rami' 'promosi' 'guna' 'terima' 'kasih' 'link' 'saja' 'lengkapnyauntuksemua'
positif,'cocok' 'sekali' 'tengah' 'pandemi' 'inspirasi' 'dirumahaja' 'rumah' 'sehat' 'terimakasih' 'lengkapnyauntuksemua'
positif,'dan' 'pandemi' 'tepat' 'pakai' 'linkaja' 'terus' 'deh' 'sampai'
negatif,'dear' 'akun' 'blokir' 'sudah' 'menghubungi' 'pelayanan online' 'tapi' 'solusi' 'dintruksikan' 'datang' 'grapari' 'no' 'menghubungi' 'yang' 'daftar' 'no' 'telkomsel' 'pandemi' 'dintruksikan' 'rumah' 'saja' 'tolong' 'solusi' 'nya' 'agar' 'tidak' 'rumah' 'putus' 'rantai' 'tular'
positif,'dear' 'alfaexpres' 'stasiun' 'pondokranji' 'bayar' 'pakai' 'shopepay' 'alas' 'langsung' 'sejati' 'non tunai' 'aman' 'pandemi'
positif,'gopay' ' ' ' ' ' ' 'sudah' 'folow' 'dari' 'moga' 'berkah' 'beli' 'gofod' 'karena' 'positif' 'covid' 'menjadi' 'gabisa' 'beli' 'makan' ' '
negatif,'hai' 'fiuers' 'podcast' 'jumat' 'hadir' 'presiden' 'bincang' 'seru' 'jahat' 'dompet digital' 'pandemi' 'penasaran' 'langsung' 'menekan tombol'
negatif,'hai' 'kak' 'mohon' 'maf' 'ketidaknyamananya' 'fini' 'informasi' 'tangal' 'april' 'situasi' 'pandemi' 'covid' 'ovo' 'paylater' 'aplikasi' 'tokopedia' 'transaksi' 'moga' 'informasi' 'fini' 'me'
positif,'hainamaku' 'fina' 'pandemi' 'transaksi' 'pakai' 'aplikasi' 'linkaja' 'mudah' 'tidak' 'ribet' 'pakai' 'telepon gengam' 'rumah' 'cocok' 'rumah' 'lengkapnyauntuksemua'
negatif,'halo' 'kak' 'devara' 'waduh' 'admin' 'maf' 'ya' 'sudah' 'mbuat' 'kakak' 'bingung' 'admin' 'informasikan' 'shope' 'sedang' 'menjalankan' 'bijak' 'kait' 'covid' 'yang' 'akibat' 'guna' 'shopepaylater' 'limit' 'menjadi' 'rp' 'mi'
positif,'hidup' 'ovo' 'bayaramanpakeovo' 'mudah' 'transaksi' 'apa' 'rumah' 'kondisi' 'pandemi' 'covid' 'staysafe' 'jaga' 'sehat' 'mari' 'budaya' 'bayar' 'non tunai' 'pa'
negatif,'hujan' 'masa' 'pandemi' 'susah' 'cari' 'uang' 'masa' 'pandemi' 'eh' 'ketika' 'pembelian' 'barang' 'shope' 'memakai' 'shopepay' 'isi' 'saldo' 'tidak' 'masuk' 'sudah' 'x' ' '
positif,'imlek' 'sekejap' 'uang' 'ini' 'pandemi' 'tetep' 'bagi' 'uang' 'virtual' 'cocok' 'protokol kesehatan' 'jaga' 'uang' 'kasih' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'inspirasi' 'jaga' 'protokol' 'sehat' 'era' 'pandemi' 'lengkapnyauntuksemua'
positif,'inspirasi' 'jaga' 'protokol' 'sehat' 'moga' 'pandemi' 'lengkapnyauntuksemua'
positif,'inspirasi' 'jaga' 'protokol' 'sehat' 'mudah' 'transaksi' 'khusus' 'nya' 'masa' 'pandemi' 'lengkapnyauntuksemua'
positif,'inspiratif' 'solusi' 'pandemi' 'lengkapnyauntuksemua'
positif,'iya' 'benar' 'sekali' 'memakai' 'gopay' 'putus' 'rantai' 'sebar' 'covid'
positif,'iya' 'memang' 'tidak' 'memakai' 'uang' 'tunai' 'covid' 'amplop' 'nya' 'transfer' 'ovo' 'gopay' 'shopepay' 'link' 'dana' 'dan yang lainya' 'tertawa'
positif,'iya' 'ya' 'covid' 'orang' 'yang' 'bosan' 'lalu' 'tambah' 'shopepay' 'later' 'lalu' 'gratis ongkos kirim' 'yang' 'laku' 'shopepay' 'later' 'kerja' 'beli online' 'shope' 'tertawa' 'hanya' 'saya' 'pendapat'
positif,'jaga' 'sehat' 'dengan' 'makan' 'makan' 'sehat' 'menjadi' 'salah' 'era' 'pandemi' 'bareng' 'olahraga' 'sepeda' 'salah' 'aktifitas' 'kesukan' 'solusi' 'bayar' 'virtual' 'transaksi' 'len'
positif,'jaga' 'sehat' 'lingkung' 'keluarga' 'lingkung' 'masa' 'pandemi' 'lupa' 'protokol' 'sehat' 'ovo' 'memudahkan' 'transaksi' 'uang' 'tunai' 'semuatenangterlindungi'
positif,'jaga' 'sehat' 'semuatenangterlindungi' 'pandemi' 'wajib' 'patuh' 'protokol' 'jaga' 'kesehatanolahraga' 'tidur' 'atur' 'transaksi' 'pakai' 'ovo' 'pembelian' 'makan' 'aman' 'praktis'
positif,'jaga' 'sehat' 'semuatenangterlindungi' 'sat' 'pandemi' 'wajib' 'sekali' 'patuh' 'protokol' 'sehat' 'lupa' 'olahraga' 'makan' 'tidur' 'atur' 'pakai' 'ovo' 'bayar' 'aman' 'praktis'
negatif,'jauh' 'dompet digital' 'pandemi' 'gerus' 'saldo'
positif,'jika' 'shopepay' 'beli' 'baju' 'kerja' 'pandemi' 'tidak' 'toko swalayan' 'enak' 'beli' 'daring' 'saja' 'hbdjnt'
positif,'k' 'saja' nan 'semenjak' 'pandemi' 'ini' 'saya' 'sering' 'simpan' 'uang' 'gopay' 'ovo' 'shopepay'
positif,'kandasebaiknya' 'hindar' 'tular' 'covid' 'uang' 'tunai'
positif,'karena' 'tidak' 'wfh' 'menjadi' 'kantor' 'grab' 'alternatif' 'sekali' 'menjadi' 'transportasi' 'kantor' 'mana' 'pandemi' 'bisa' 'ngasih' 'saldo' 'ovo' 'points' 'trip' 'bolak' 'kantor rumah' 'sisa' 'jajan' 'gr'
positif,'kasih' 'saran' 'ibu' 'sedekah' 'hari' 'pandemi' 'mudah' 'tular' 'ulang' 'dompet digital' 'solusi' 'terima' 'kasih'
positif,'ken' 'deh' 'ajar' 'masak' 'pandemi' 'menjadi' 'giat' 'rumah' 'huhu' 'bahan' 'sudah' 'pd' 'bonus' 'untung' 'link' 'saja' 'bayar' 'toko online' 'ribet' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'kerja' 'positif' 'pandemi' 'linkaja' 'catat' 'juta' 'guna' 'daftar'
positif,'kesukan' 'istri' 'saya' 'tuh' 'nge' 'toko swalayan' 'kondisi' 'seperti' 'pandemi' 'cemas' 'transaksi' 'tunai' 'untung' 'promonya' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'ketika' 'kelas' 'daring' 'paket' 'habis' 'tengah' 'kelas' 'susah' 'untung' 'link' 'saja' 'beli' 'pulsa' 'cepat' 'tidak' 'ribet' 'mantap' 'deh' 'aplikasi' 'pandemi' 'gin' 'meminimalisir' 'rumah' 'pengalamanbar'
negatif,'ketika' 'pandemi' 'fitur' 'shope' 'pay' 'nonaktif' 'shope'
positif,'ketika' 'sekali' 'ini' 'selama' 'pandemi' 'bahagia' 'berkumpul' 'bersama' 'keluarga' 'bantu' 'orang tua' 'masak' 'and' 'berolahraga' 'untuk' 'jaga' 'sehat' 'tubuh' 'and' 'terimakasih' 'you' 'aplikasi' 'bantu' 'saya' 'mengisi' 'saldo' 'ovo' 'pengalamanb'
positif,'ketika' 'sekali' 'malas' 'rumah' 'pandemi' 'gin' 'dan' 'keren' 'dapet' 'diskon' 'pengalamanbaru' 'lengkapnyauntuksemua'
,'kl' 'yang' 'covid' 'way' 'to' 'long' 'lebih baik' 'saya' 'kasi' 'link' 'saja' 'highlight' '
negatif,'knapa' 'pulsa' 'rb' 'sudah' 'dri' 'x' 'jam' 'tungu' 'tidak' 'masuk' 'jangan' 'rugi' 'langan' 'masa' 'pandemi' 'kyk' 'gin'
positif,'kondisi' 'pandemi' 'memakai' 'link' 'saja' 'transaksi' 'apa' 'tidak' 'sibuk' 'suka' 'link' 'saja' 'lengkapnyabikinmerdeka'
positif,'kondisi' 'pandemi' 'memang' 'ngurangin' 'bayar' 'tunai' 'sehat' 'jika' 'bayar' 'saja' 'memakai' 'lengkapnyauntuksemua'
positif,'konsultasi' 'psikiater' 'kak' 'sudah' 'x' 'dokter' 'beda' 'tidak' 'bilang' 'kaya' 'gitu' 'tetep' 'dokter' 'cocok' 'ya' 'hati' 'ya' 'kak' 'jika' 'langsung' 'jangan' 'pilih' 'rumah sakit' 'yang' 'rujuk' 'covid' 'jika' 'daring' 'halodoc' 'saja' 'bayar' 'gopay' 'k' 'coba' 'dengar'
positif,'lagi' 'pandemi' 'ni' 'harus' 'sosyel' 'distensing' 'menjadi' 'transfer' 'aje' 'ye' 'dana' 'spay' 'gopay' 'bca' 'bni' 'dan yang lainya' 'siap' 'semua' 'hehe'
positif,'lbh' 'praktis' 'jika' 'terima' 'kartu' 'gopay' 'linkaja' 'juga' 'dlm' 'rangka' 'cegah' 'infeksi' 'covid' 'untuk' 'kurang' 'kontak' 'dengan' 'benda' 'yang' 'pakai' 'orang' 'seperti' 'atm'
positif,'lengkapnyauntuksemua' 'terimakasih' 'forma' 'pandemi' 'dengan' 'linkaja' 'bantu' 'dlm' 'transaksi'
negatif,'limit' 'shope' 'pay' 'later saya' 'bilang' 'sesuai' 'covid' 'tapi' 'limit' 'teman' 'teman saya' 'sudah'
negatif,'link' 'saja' 'baik' 'fitur' 'transaksi' 'unjung' 'grapari' 'sibuk' 'pandemi' 'tolong' 'bantu' 'admin'
positif,'link' 'saja' 'cocok' 'pandemi' 'rumah' 'beli' 'paket' 'bayar' 'listrik' 'transfer' 'inspirasi' 'dirumahaja' 'lengkapnyauntuksemua'
positif,'link' 'saja' 'mudah' 'transaksi' 'belanja' 'daring' 'pandemi' 'harus' 'rumah' 'saja' 'promosi' 'dapat' 'lengkapnyauntuksemua'
positif,'linkaja' 'inspirasi' 'dirumahaja' 'pandemi' 'covid' 'lengkapnyauntuksemua'
positif,'linkaja' 'inspiratif' 'recomended' 'aplikasi' 'sekali' 'masa' 'pandemi' 'per' 'serba' 'mudah' 'belanja' 'mana' 'saja' 'linkaja' 'lengkapnyauntuksemua'
positif,'linkaja' 'memang' 'baik' 'ketika' 'pandemi' 'kendala' 'pokok' 'nya' 'sukses' 'bersyukur' 'pakelinkaja'
positif,'linkaja' 'mudah' 'beli' 'kuota' 'pandemi' 'initidak' 'rumah' 'mobile' 'banking' 'pembayaranyaselamat' 'raya' 'imlek' 'lengkapnyauntuksemua'
positif,'linkaja' 'transaksi' 'mudah' 'sat' 'pandemi' 'salah' 'patuh' 'protokol' 'sehat' 'sukses' 'biat' 'link' 'saja' 'ikut' 'gerakindonesia'
positif,'make' 'gopay' 'kemaren' 'tepat' 'ketika' 'pandemi' 'sebenernya' 'sudah' 'make' 'isi' 'saldo' 'gopay' 'hapus' 'handphoneku' 'jelek' 'lot' 'pandemi' 'beli' 'beli' 'handphone' 'k'
positif,'malas' 'rumah' 'pandemi' 'ngak' 'bank online' 'atm' 'bantu' 'alam' 'transaksi' 'mudah' 'cepat' 'lengkap'
positif,'manfat' 'tidak' 'antre' 'pandemi' 'handphone' 'atas' 'linkaja' 'lengkapnyabikinmerdeka'
positif,'masa' 'pandemi' 'butuh' 'rekreasi' 'salah' 'wajib' 'salah' 'satu' 'jalan' 'toko swalayan' 'jarak' 'rumah' 'toko swalayan' 'harus' 'grabike' 'bayang' 'jika' 'hari' 'bayar' 'gin' 'bisa' 'ovo' 's'
positif,'masa' 'pandemi' 'gin' 'pelru' 'hati' 'hati' 'sih' 'pembyaran' 'terlebih' 'uang' 'tunai' 'takut' 'sebar' 'virus' 'lebih baik' 'memakai' 'linkaja' 'bayar' 'krl' 'loh' 'lengkapnyauntuksemua'
positif,'masa' 'pandemi' 'gin' 'sulit' 'mana' 'transaksi' 'langsung' 'takut' 'kena' 'corona' 'untung' 'linkaja' 'solusi' 'yang' 'cepat' 'manfat' 'linkaja' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'masa' 'pandemi' 'harus' 'makan' 'makan' 'sehat' 'sayur' 'buah' 'buah' 'bayar' 'memakai' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'masa' 'pandemi' 'sehat' 'wajib' 'sekali' 'patuh' 'protokol' 'sehat' 'dirumahsaja' 'transaksi' 'apa' 'memakai' 'ovo' 'nya' 'mudah' 'sekali' 'aman' 'semuatenangterlindungi'
positif,'masa' 'pandemi' 'semuatenangterlindungi' 'jaga' 'imunitas' 'tubuh' 'dengan' 'olahraga' 'tat' 'protokol kesehatan' 'agar' 'protokol kesehatan' 'jika' 'sen' 'makan' 'daring' 'saja' 'memakai' 'ovo'
positif,'masyarakat' 'alih' 'layan' 'digital' 'pandemi' 'corona' 'salah' 'satu' 'bayar' 'non tunai' 'catat' 'lonjak' 'guna'
positif,'memakai' 'link' 'saja' 'pandemi'
positif,'memakai' 'shopepay' 'aman' 'aman' 'saja' 'si' 'kalau' 'isi' 'alfamart' 'indomaret' 'sekarang' 'juga' 'musim' 'covid' 'menjadi' 'tidak perlu' 'interaksi' 'kurir' 'lagi' 'hanya' 'kalau' 'isi' 'saldo' 'saja' 'agar' 'tidak' 'bolak'
positif,'memang' 'link' 'saja' 'bantu' 'saya' 'sekali' 'masa' 'pandemi' 'gin' 'serba' 'daring' 'lengkapnyauntuksemua'
positif,'memang' 'memakai' 'gopay' 'susah' 'ya' 'saya' 'covid' 'gin' 'tidak' 'pegang' 'tunai' 'sudah' 'non tunai' 'tukang' 'sayur' 'memakai' 'uang' 'digital' 'saya' 'memakai' 'uang' 'digital' 'serius' 'nanya'
positif,'memang' 'ngasih' 'solusi' 'sekali' 'ini' 'bayar' 'saja' 'ngurangin' 'transaksi' 'tunai' 'ketika' 'pandemi' 'kaya' 'gin' 'lengkapnyauntuksemua'
positif,'memang' 'solutif' 'sekali' 'pandemi' 'inspirasi' 'jaga' 'protokol' 'sehat' 'lengkapnyauntuksemua'
negatif,'moga' 'pandemi' 'kurang' 'aktifitas' 'belanja' 'daring' 'tingkat' 'semangat' 'indonesia' 'lengkapnyauntuksemua'
positif,'mudah' 'guna' 'rencana' 'libur' 'aman' 'nyaman' 'pandemi' 'wartajateng'
positif,'mudah' 'sat' 'pandemi' 'inspirasi' 'jaga' 'protokol' 'sehat' 'promosi' 'guna' 'lengkapnyauntuksemua'
positif,'mudah' 'urus' 'pandemi' 'isi' 'pulsa' 'token' 'tidak' 'minimarket' 'sudah' 'gitu' 'diskon' 'nya' 'jika' 'banyak' 'diskon' 'nya' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'neng' 'olahraga' 'sepada' 'mana' 'pandemi' 'tingkat' 'sistem' 'imunitas' 'tubuh' 'tingkat' 'fiturnya' 'mana' 'mudah' 'bayar' 'daring' 'lengkapnyauntuk'
negatif,'nuntut' 'balikin' 'uang' 'yang' 'debit' 'gagal' 'beli' 'tiket' 'kereta' 'mbok' 'yo' 'keluhan saya' 'tindak' 'lanjut' 'kaum' 'proletar' 'uang' 'yang' 'tidak' 'harga' 'sekali' 'pandemi' 'halo' 'tolong' 'baca'
positif,'ovo' 'solusi' 'baik' 'pandemi' 'gin' 'belanja' 'butuh' 'tidak' 'sibuk' 'sibuk' 'rumah' 'tatap' 'muka' 'langsung' 'semuatenangterlindungi' 'patuh' 'protokol' 'sehat' 'anjur' 'perintah'
negatif,'ovo' 'updgrade' 'premium' 'ketika' 'harus' 'verifikasi' 'tempatnya' 'langsung' 'malas' 'sekali' 'tingi' 'covid'
positif,'pakai' 'link' 'ajabanyak' 'untung' 'loh' 'promosi' 'guna' 'zaman' 'apa' 'digital' 'pandemi' 'lengkapnyauntuksemua'
positif,'pandemi' 'ajar' 'bisnis' 'daring' 'alam' 'hasil' 'bagus' 'tambah' 'uang' 'jajan' 'uang' 'hasil' 'bisnis' 'simpan' 'aplikasi' 'mudah' 'bantu' 'bayar' 'lengk'
positif,'pandemi' 'aktivitas' 'rumah' 'masak' 'dekor' 'kamar' 'rapi' 'kamar' 'lupa' 'olahraga' 'kalah' 'tarik' 'aplikasi' 'bayar' 'daring' 'pengalamanbaru' 'l'
positif,'pandemi' 'alias' 'dirumahaja' 'masak' 'olahraga' 'ingat' 'transaksi' 'memakai' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'berlangsungaku' 'coba' 'ajar' 'masak' 'rumah' 'lengkap' 'alat' 'alat' 'masak' 'beli' 'daring' 'bayar' 'bantu' 'terima' 'kasih' 'pengalamanbaru' 'lengkapnyauntuksemua' 'linkaja'
positif,'pandemi' 'coronasangat' 'bantu' 'sekali karna' 'untung' 'dibandingkan dengan' 'dompet digital' 'lengkapnyauntuksemua'
positif,'pandemi' 'covid' 'guna' 'daftar' 'linkaja' 'persen'
positif,'pandemi' 'damri' 'tidak' 'bayar' 'memakai' 'linkaja' 'kartu' 'debit' 'gopay' 'ovo' 'dana' 'shopepay' 'dan yang lainya' 'terima' 'tunai' 'pandemi' 'loh' 'woy' 'pandemi' 'tolong' 'sekali' 'tidak' 'ngerti' 'lokasi' 'terminal' 'soeta'
positif,'pandemi' 'dapet' 'hobi' 'main' 'sepeda' 'bareng' 'teman' 'teman' 'beli' 'part' 'upgrade' 'sepeda' 'nya' 'bayar' 'pakai' 'ribet' 'tidak' 'bingung' 'dirumahaja' 'olahraga' 'cardio' 'sat' 'lengkapnyauntukse'
positif,'pandemi' 'dirumahaja' 'ajar' 'masak' 'transaksi' 'nya' 'memakai' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'dirumahaja' 'alam' 'ajar' 'masak' 'masak' 'kue' 'beli' 'bahan' 'masak' 'daring' 'bayar' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'dirumahaja' 'alam' 'baca' 'buku' 'ajar' 'masak' 'giat' 'keluarga' 'aktivitas' 'bayar' 'daring' 'aplikasi' 'pengalamanbaru'
positif,'pandemi' 'dirumasaja' 'alam' 'ajar' 'masak' 'baca' 'buku' 'giat' 'keluarga' 'ativitas' 'bayar' 'daring' 'aplikasi' 'pengalamanbaru' 'leng'
positif,'pandemi' 'dompet digital' 'transaksi' 'linkaja' 'salah' 'dompet digital' 'kesukan' 'bagus' 'kerja' 'promosi' 'guna' 'lengkapnyauntuksemua'
positif,'pandemi' 'giat' 'rumah' 'ajar' 'kuota' 'habis' 'aplikasi' 'mudah' 'cepat' 'isi' 'kuota' 'rumah' 'alam' 'berbisnis' 'daring' 'lengkapn'
positif,'pandemi' 'gilak' 'sih' 'dandan' 'baca' 'buku' 'jika' 'belanja' 'memakai' 'mudah' 'sekali' 'mantap' 'pengalamanbaru' 'lengkapnyauntuksemua'
positif,'pandemi' 'gin' 'alam' 'baca' 'buku' 'ajar' 'masak' 'masakan' 'indonesia' 'giat' 'lakuin' 'bantu' 'aplikasi' 'belanja' 'mudah' 'lengkapnyauntuksemua' 'pengalamanbaru'
positif,'pandemi' 'gin' 'cocok' 'ya' 'transaksi' 'non' 'tunai' 'sih' 'aman' 'jika' 'bayar' 'memakai' 'linkaja' 'hemat' 'sudah' 'lengkapnyaramadan' 'hemat' 'ribu'
positif,'pandemi' 'gin' 'jaga' 'jarak' 'gaboleh' 'kerumun' 'kerumun' 'mantan' 'ovo' 'benar' 'benar' 'membantu' 'waktu' 'kelaparan' 'sehat' 'memakai' 'prutect' 'care' 'bulan' 'parkir' 'saja' 'ovo' 'sudah'
positif,'pandemi' 'gin' 'jaga' 'sehat' 'semuatenangterlindungi' 'istirahat' 'yang' 'makan' 'makan' 'yang' 'gizi' 'hindar' 'stres' 'kurang' 'mobilitas' 'dengan' 'dirumahaja' 'minum' 'vitamin' 'rutin' 'patuh' 'protokol kesehatan' 'transaksi' 'non tunai'
positif,'pandemi' 'gin' 'mana' 'susah' 'tidak' 'tetep' 'keluar tapi' 'tau' 'fitur' 'dompet digital' 'salah' 'satu' 'beli' 'lengkap' 'sekolah' 'lain' 'langan' 'aplikasi' 'ajar' 'mudah' 'lengkapnyauntu'
